Station,time,Replicate,Timestamp_bottle_closure_GMT_ISO8601,Cysteic_Acid_pmol.L,Cysteinolic_acid_PA.L,DHPS_pmol.L,Isethionic_Acid_pmol.L,Sulfolactic_Acid_pmol.L,Taurine_pmol.L
26,1800,2,2015-07-29T04:37:00-0000,1.56515786,62516,1856.918435,28.68313529,10.26292506,114.3649794
26,1800,3,2015-07-29T04:37:00-0000,1.734863939,1947683.714,1142.237155,11.48047733,4.062721247,43.74116977
28,2200,1,2015-07-29T08:26:00-0000,4.016191644,5261183.429,3189.594547,28.70796426,6.505647497,84.96052293
28,2200,2,2015-07-29T08:26:00-0000,1.937820637,2574562.286,910.1565079,9.335329153,3.40500797,75.44261176
28,2200,3,2015-07-29T08:26:00-0000,0.304760344,2074579.375,906.4405015,12.56717202,5.236675522,119.4628531
29,200,1,2015-07-29T12:31:00-0000,0.150553431,1616962,1142.444503,13.91849507,7.509148151,62.35730826
29,200,2,2015-07-29T12:31:00-0000,2.997014152,2733551.143,1512.726533,15.29205953,7.723110928,88.78884601
29,200,3,2015-07-29T12:31:00-0000,7.039614628,2786511.429,1117.889267,18.45363768,3.502476251,92.26232831
30,600,1,2015-07-29T16:24:00-0000,0.630429153,1634377.143,552.5665645,8.739684015,7.467599685,56.83907049
30,600,2,2015-07-29T16:24:00-0000,2.563754228,1349802.903,331.2208966,7.428639067,6.631691437,52.27952021
30,600,3,2015-07-29T16:24:00-0000,0.816205346,2168464.839,933.4392525,16.40930572,5.745128186,64.09451371
31,1000,1,2015-07-29T20:25:00-0000,1.148483024,1877292,876.7842782,9.324601426,12.68687597,67.00346509
31,1000,2,2015-07-29T20:25:00-0000,0.511726721,2884818,817.6615327,13.59218892,7.728680776,81.20699925
31,1000,3,2015-07-29T20:25:00-0000,3.543761792,1797979.429,823.8373198,11.75822248,3.926664805,61.89518432
32,1400,1,2015-07-30T00:26:00-0000,,2604642,,,,
32,1400,2,2015-07-30T00:26:00-0000,,3784781.714,,,,
32,1400,3,2015-07-30T00:26:00-0000,,6345391.429,,,,
33,1800,1,2015-07-30T04:30:00-0000,,6523337.714,,,,
33,1800,2,2015-07-30T04:30:00-0000,,300148.5714,,,,
33,1800,3,2015-07-30T04:30:00-0000,,4272334.857,,,,
34,2200,1,2015-07-30T08:15:00-0000,,3785918.571,,,,
34,2200,2,2015-07-30T08:15:00-0000,,5972787.429,,,,
34,2200,3,2015-07-30T08:15:00-0000,,5839610.286,,,,
35,200,1,2015-07-30T12:28:00-0000,,2352544.286,,,,
35,200,2,2015-07-30T12:28:00-0000,,1641941.143,,,,
35,200,3,2015-07-30T12:28:00-0000,,2500662.857,,,,
