"Timestamp_PAR_HST","KM1513_shipboard_PAR_30s.mav_W_m2"
"2015-07-25T09:47:40-1000",265.182549733333
"2015-07-25T09:48:40-1000",275.431249
"2015-07-25T09:49:40-1000",276.779878666667
"2015-07-25T09:50:40-1000",273.748594933333
"2015-07-25T09:51:40-1000",272.653027333333
"2015-07-25T09:52:40-1000",267.627074566667
"2015-07-25T09:53:40-1000",274.259772633333
"2015-07-25T09:54:40-1000",287.535536566667
"2015-07-25T09:55:40-1000",320.8148033
"2015-07-25T09:56:40-1000",318.949219866667
"2015-07-25T09:57:40-1000",347.987778266667
"2015-07-25T09:58:40-1000",405.139576933333
"2015-07-25T09:59:40-1000",506.101530166667
"2015-07-25T10:00:40-1000",497.276692433333
"2015-07-25T10:01:40-1000",457.796296366667
"2015-07-25T10:02:40-1000",407.410930033333
"2015-07-25T10:03:40-1000",362.679100933333
"2015-07-25T10:04:40-1000",329.151803466667
"2015-07-25T10:05:40-1000",321.839809433333
"2015-07-25T10:06:40-1000",307.7703407
"2015-07-25T10:07:40-1000",292.555251366667
"2015-07-25T10:08:40-1000",285.140952033333
"2015-07-25T10:09:40-1000",284.724927766667
"2015-07-25T10:10:40-1000",285.532248633333
"2015-07-25T10:11:40-1000",282.916684566667
"2015-07-25T10:12:40-1000",284.496232433333
"2015-07-25T10:13:40-1000",273.0503592
"2015-07-25T10:14:40-1000",303.5068339
"2015-07-25T10:15:40-1000",306.029218566667
"2015-07-25T10:16:40-1000",235.817153033333
"2015-07-25T10:17:40-1000",222.783666766667
"2015-07-25T10:18:40-1000",245.109060866667
"2015-07-25T10:19:40-1000",242.280233566667
"2015-07-25T10:20:40-1000",498.2959681
"2015-07-25T10:21:40-1000",446.9870887
"2015-07-25T10:22:40-1000",407.028838466667
"2015-07-25T10:23:40-1000",401.7265852
"2015-07-25T10:24:40-1000",271.4674952
"2015-07-25T10:25:40-1000",266.678630633333
"2015-07-25T10:26:40-1000",346.242741633333
"2015-07-25T10:27:40-1000",393.484242
"2015-07-25T10:28:40-1000",366.301644633333
"2015-07-25T10:29:40-1000",492.562698333333
"2015-07-25T10:30:40-1000",440.0382461
"2015-07-25T10:31:40-1000",246.801529
"2015-07-25T10:32:40-1000",351.462927333333
"2015-07-25T10:33:40-1000",285.142948766667
"2015-07-25T10:34:40-1000",269.058595133333
"2015-07-25T10:35:40-1000",267.871788466667
"2015-07-25T10:36:40-1000",410.383531
"2015-07-25T10:37:40-1000",417.7151872
"2015-07-25T10:38:40-1000",372.945443133333
"2015-07-25T10:39:40-1000",343.113890433333
"2015-07-25T10:40:40-1000",370.0626825
"2015-07-25T10:41:40-1000",345.545521133333
"2015-07-25T10:42:40-1000",373.812112466667
"2015-07-25T10:43:40-1000",316.9910892
"2015-07-25T10:44:40-1000",323.449206033333
"2015-07-25T10:45:40-1000",332.6513865
"2015-07-25T10:46:40-1000",291.008530933333
"2015-07-25T10:47:40-1000",417.191577933333
"2015-07-25T10:48:40-1000",387.363838366667
"2015-07-25T10:49:40-1000",386.374614533333
"2015-07-25T10:50:40-1000",304.229695566667
"2015-07-25T10:51:40-1000",302.713422033333
"2015-07-25T10:52:40-1000",296.377746733333
"2015-07-25T10:53:40-1000",342.862520733333
"2015-07-25T10:54:40-1000",292.343420466667
"2015-07-25T10:55:40-1000",318.872499366667
"2015-07-25T10:56:40-1000",338.746058833333
"2015-07-25T10:57:40-1000",369.827974266667
"2015-07-25T10:58:40-1000",374.6396824
"2015-07-25T10:59:40-1000",359.623710133333
"2015-07-25T11:00:40-1000",349.5619561
"2015-07-25T11:01:40-1000",332.992077833333
"2015-07-25T11:02:40-1000",345.921679
"2015-07-25T11:03:40-1000",349.902026766667
"2015-07-25T11:04:40-1000",354.7873084
"2015-07-25T11:05:40-1000",349.594083866667
"2015-07-25T11:06:40-1000",369.8122828
"2015-07-25T11:07:40-1000",360.855775533333
"2015-07-25T11:08:40-1000",345.1398639
"2015-07-25T11:09:40-1000",335.7623803
"2015-07-25T11:10:40-1000",338.1991097
"2015-07-25T11:11:40-1000",350.178237033333
"2015-07-25T11:12:40-1000",367.9185767
"2015-07-25T11:13:40-1000",350.388206333333
"2015-07-25T11:14:40-1000",345.359873233333
"2015-07-25T11:15:40-1000",320.977912333333
"2015-07-25T11:16:40-1000",327.675903766667
"2015-07-25T11:17:40-1000",330.538020833333
"2015-07-25T11:18:40-1000",337.6723645
"2015-07-25T11:19:40-1000",382.4028628
"2015-07-25T11:20:40-1000",520.386022366667
"2015-07-25T11:21:40-1000",513.004008833333
"2015-07-25T11:22:40-1000",335.726202666667
"2015-07-25T11:23:40-1000",307.569531566667
"2015-07-25T11:24:40-1000",313.2362558
"2015-07-25T11:25:40-1000",369.036232
"2015-07-25T11:26:40-1000",445.959893766667
"2015-07-25T11:27:40-1000",443.516564866667
"2015-07-25T11:28:40-1000",395.205769666667
"2015-07-25T11:29:40-1000",544.4301913
"2015-07-25T11:30:40-1000",512.551964966667
"2015-07-25T11:31:40-1000",524.901609733333
"2015-07-25T11:32:40-1000",325.672288933333
"2015-07-25T11:33:40-1000",329.704787733333
"2015-07-25T11:34:40-1000",420.657149533333
"2015-07-25T11:35:40-1000",632.3392442
"2015-07-25T11:36:40-1000",490.422619766667
"2015-07-25T11:37:40-1000",441.8376449
"2015-07-25T11:38:40-1000",540.0515303
"2015-07-25T11:39:40-1000",595.4072578
"2015-07-25T11:40:40-1000",575.825239
"2015-07-25T11:41:40-1000",499.3538693
"2015-07-25T11:42:40-1000",504.772551666667
"2015-07-25T11:43:40-1000",519.8020722
"2015-07-25T11:44:40-1000",539.824809
"2015-07-25T11:45:40-1000",526.4086218
"2015-07-25T11:46:40-1000",521.6786543
"2015-07-25T11:47:40-1000",521.694514933333
"2015-07-25T11:48:40-1000",524.886628733333
"2015-07-25T11:49:40-1000",520.424489833333
"2015-07-25T11:50:40-1000",490.6470737
"2015-07-25T11:51:40-1000",496.208412866667
"2015-07-25T11:52:40-1000",517.9012592
"2015-07-25T11:53:40-1000",527.4202265
"2015-07-25T11:54:40-1000",519.244067966667
"2015-07-25T11:55:40-1000",483.268489466667
"2015-07-25T11:56:40-1000",511.429492433333
"2015-07-25T11:57:40-1000",502.564461133333
"2015-07-25T11:58:40-1000",495.8087569
"2015-07-25T11:59:40-1000",487.240985666667
"2015-07-25T12:00:40-1000",481.5434086
"2015-07-25T12:01:40-1000",477.5270074
"2015-07-25T12:02:40-1000",464.131238333333
"2015-07-25T12:03:40-1000",470.533481433333
"2015-07-25T12:04:40-1000",465.340211866667
"2015-07-25T12:05:40-1000",461.987155166667
"2015-07-25T12:06:40-1000",458.499112066667
"2015-07-25T12:07:40-1000",456.991694033333
"2015-07-25T12:08:40-1000",453.6496697
"2015-07-25T12:09:40-1000",451.3477682
"2015-07-25T12:10:40-1000",448.982965033333
"2015-07-25T12:11:40-1000",449.061840166667
"2015-07-25T12:12:40-1000",456.395606033333
"2015-07-25T12:13:40-1000",448.729384066667
"2015-07-25T12:14:40-1000",456.205806566667
"2015-07-25T12:15:40-1000",452.8565174
"2015-07-25T12:16:40-1000",455.206204566667
"2015-07-25T12:17:40-1000",380.371327766667
"2015-07-25T12:18:40-1000",162.019691533333
"2015-07-25T12:19:40-1000",203.497983133333
"2015-07-25T12:20:40-1000",465.503478833333
"2015-07-25T12:21:40-1000",467.808460066667
"2015-07-25T12:22:40-1000",448.302981466667
"2015-07-25T12:23:40-1000",182.913745133333
"2015-07-25T12:24:40-1000",178.537701066667
"2015-07-25T12:25:40-1000",436.465360533333
"2015-07-25T12:26:40-1000",488.597545766667
"2015-07-25T12:27:40-1000",469.7597547
"2015-07-25T12:28:40-1000",460.0412188
"2015-07-25T12:29:40-1000",449.207294733333
"2015-07-25T12:30:40-1000",440.690208266667
"2015-07-25T12:31:40-1000",441.380998633333
"2015-07-25T12:32:40-1000",445.6695374
"2015-07-25T12:33:40-1000",454.9713836
"2015-07-25T12:34:40-1000",462.083098333333
"2015-07-25T12:35:40-1000",464.795203033333
"2015-07-25T12:36:40-1000",464.449356433333
"2015-07-25T12:37:40-1000",462.2997006
"2015-07-25T12:38:40-1000",462.221581233333
"2015-07-25T12:39:40-1000",460.419113866667
"2015-07-25T12:40:40-1000",457.1330536
"2015-07-25T12:41:40-1000",457.830793166667
"2015-07-25T12:42:40-1000",452.347923033333
"2015-07-25T12:43:40-1000",443.802025233333
"2015-07-25T12:44:40-1000",435.561588633333
"2015-07-25T12:45:40-1000",433.0270434
"2015-07-25T12:46:40-1000",429.8512527
"2015-07-25T12:47:40-1000",428.9555468
"2015-07-25T12:48:40-1000",427.814111133333
"2015-07-25T12:49:40-1000",427.095998666667
"2015-07-25T12:50:40-1000",426.943290866667
"2015-07-25T12:51:40-1000",427.156317066667
"2015-07-25T12:52:40-1000",423.818196
"2015-07-25T12:53:40-1000",424.957747733333
"2015-07-25T12:54:40-1000",425.450402133333
"2015-07-25T12:55:40-1000",425.128256833333
"2015-07-25T12:56:40-1000",424.427528066667
"2015-07-25T12:57:40-1000",424.6914083
"2015-07-25T12:58:40-1000",424.293139933333
"2015-07-25T12:59:40-1000",423.9708591
"2015-07-25T13:00:40-1000",423.586703033333
"2015-07-25T13:01:40-1000",423.6580991
"2015-07-25T13:02:40-1000",423.478599066667
"2015-07-25T13:03:40-1000",423.246813033333
"2015-07-25T13:04:40-1000",420.670291733333
"2015-07-25T13:05:40-1000",423.020328333333
"2015-07-25T13:06:40-1000",423.206472466667
"2015-07-25T13:07:40-1000",422.743937866667
"2015-07-25T13:08:40-1000",421.954034033333
"2015-07-25T13:09:40-1000",421.857030866667
"2015-07-25T13:10:40-1000",422.438284633333
"2015-07-25T13:11:40-1000",423.987588433333
"2015-07-25T13:12:40-1000",424.457534966667
